"date","sessions","goal1.completions","goal2.completions","goal3.completions"
2012-10-17,215,10,0,1
2012-10-18,195,12,0,4
2012-10-19,204,18,1,0
2012-10-20,72,2,0,0
2012-10-21,87,9,1,1
2012-10-22,198,12,0,2
2012-10-23,187,6,1,2
2012-10-24,173,5,0,2
2012-10-25,172,9,1,0
2012-10-26,123,6,0,1
2012-10-27,49,4,0,0
2012-10-28,68,7,0,0
2012-10-29,255,11,0,0
2012-10-30,302,16,0,2
2012-10-31,196,14,1,4
2012-11-01,94,3,1,1
2012-11-02,134,7,0,2
2012-11-03,69,10,0,0
2012-11-04,75,5,0,2
2012-11-05,236,13,1,1
2012-11-06,281,12,1,1
2012-11-07,262,12,0,2
2012-11-08,229,10,0,1
2012-11-09,91,5,1,1
2012-11-10,88,4,0,0
2012-11-11,65,5,1,0
2012-11-12,203,19,1,1
2012-11-13,157,5,0,1
2012-11-14,173,7,0,4
2012-11-15,202,12,0,2
2012-11-16,135,5,0,2
2012-11-17,66,4,0,2
2012-11-18,74,4,0,1
2012-11-19,203,11,0,0
2012-11-20,208,12,0,4
2012-11-21,181,7,1,1
2012-11-22,133,6,0,0
2012-11-23,116,9,0,0
2012-11-24,50,3,0,0
2012-11-25,58,7,0,0
2012-11-26,189,12,1,2
2012-11-27,210,16,5,0
2012-11-28,151,11,1,3
2012-11-29,146,13,3,3
2012-11-30,84,6,0,0
2012-12-01,46,5,0,0
2012-12-02,50,4,0,0
2012-12-03,144,12,1,0
2012-12-04,128,10,0,1
2012-12-05,95,4,0,2
2012-12-06,67,6,0,1
2012-12-07,67,2,0,0
2012-12-08,29,1,0,0
2012-12-09,38,3,0,0
2012-12-10,113,4,0,0
2012-12-11,101,6,0,0
2012-12-12,108,8,2,0
2012-12-13,104,14,2,1
2012-12-14,88,7,0,1
2012-12-15,39,6,0,1
2012-12-16,38,5,1,0
2012-12-17,97,5,1,0
2012-12-18,114,7,0,3
2012-12-19,80,7,0,1
2012-12-20,87,4,0,0
2012-12-21,51,1,0,2
2012-12-22,29,2,0,0
2012-12-23,32,4,0,0
2012-12-24,30,3,0,2
2012-12-25,29,6,0,1
2012-12-26,58,2,2,0
2012-12-27,68,8,0,0
2012-12-28,61,3,0,0
2012-12-29,34,2,0,1
2012-12-30,26,0,0,0
2012-12-31,22,2,0,0
2013-01-01,35,2,0,1
2013-01-02,106,8,1,0
2013-01-03,77,5,0,0
2013-01-04,56,2,0,0
2013-01-05,37,5,0,0
2013-01-06,16,2,0,0
2013-01-07,57,4,0,0
2013-01-08,116,4,1,3
2013-01-09,156,12,0,0
2013-01-10,157,11,2,1
2013-01-11,91,5,0,1
2013-01-12,67,3,1,2
2013-01-13,63,4,0,0
2013-01-14,175,8,2,3
2013-01-15,176,9,1,1
2013-01-16,161,10,1,4
2013-01-17,140,5,0,2
